x_coord,y_coord,image_source_x,water_percentage,date,year,image_source_y,inland_aquaculture,shrimp_rice_farming,single_rice_cropping,triple_rice_cropping,double_rice_cropping_dry,double_rice_cropping_rain,others,date_time
11,3,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.06,0.01,0.02,0.33,0.0,0.25,0.33,2000-06-09
8,1,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.04,0.06,0.56,0.05,0.29,2000-06-09
8,2,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.05,0.11,0.48,0.0,0.36,2000-06-09
4,12,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.06,0.03,0.0,0.03,0.0,0.01,0.87,2000-06-09
10,2,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.0,0.02,0.19,0.28,0.06,0.45,2000-06-09
8,4,Flood_2000_161.tif,0.08,161,2000,Landuse_2000.tif,0.03,0.02,0.0,0.26,0.09,0.03,0.57,2000-06-09
10,4,Flood_2000_161.tif,0.09,161,2000,Landuse_2000.tif,0.01,0.02,0.0,0.03,0.0,0.01,0.93,2000-06-09
8,3,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.0,0.01,0.0,0.44,0.1,0.0,0.45,2000-06-09
2,12,Flood_2000_161.tif,0.54,161,2000,Landuse_2000.tif,0.6,0.05,0.0,0.01,0.0,0.0,0.34,2000-06-09
2,10,Flood_2000_161.tif,0.08,161,2000,Landuse_2000.tif,0.03,0.01,0.02,0.15,0.01,0.08,0.7,2000-06-09
10,3,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.02,0.02,0.0,0.24,0.02,0.0,0.7,2000-06-09
9,2,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.11,0.14,0.0,0.33,0.0,0.42,2000-06-09
2,11,Flood_2000_161.tif,0.12,161,2000,Landuse_2000.tif,0.08,0.03,0.05,0.02,0.0,0.04,0.78,2000-06-09
9,3,Flood_2000_161.tif,0.03,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.34,0.05,0.0,0.6,2000-06-09
2,7,Flood_2000_161.tif,0.17,161,2000,Landuse_2000.tif,0.05,0.05,0.04,0.0,0.0,0.04,0.82,2000-06-09
2,13,Flood_2000_161.tif,0.34,161,2000,Landuse_2000.tif,0.4,0.02,0.0,0.0,0.0,0.0,0.57,2000-06-09
9,1,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.03,0.1,0.0,0.46,0.0,0.41,2000-06-09
10,6,Flood_2000_161.tif,0.09,161,2000,Landuse_2000.tif,0.02,0.01,0.06,0.08,0.0,0.42,0.41,2000-06-09
2,8,Flood_2000_161.tif,0.16,161,2000,Landuse_2000.tif,0.02,0.09,0.04,0.0,0.0,0.0,0.84,2000-06-09
10,1,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.01,0.04,0.03,0.21,0.0,0.7,2000-06-09
9,6,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.36,0.0,0.19,0.45,2000-06-09
2,9,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.0,0.05,0.0,0.0,0.0,0.02,0.92,2000-06-09
9,4,Flood_2000_161.tif,0.16,161,2000,Landuse_2000.tif,0.05,0.04,0.0,0.09,0.01,0.01,0.8,2000-06-09
8,9,Flood_2000_161.tif,0.42,161,2000,Landuse_2000.tif,0.4,0.05,0.1,0.0,0.0,0.01,0.44,2000-06-09
9,7,Flood_2000_161.tif,0.2,161,2000,Landuse_2000.tif,0.09,0.03,0.01,0.05,0.0,0.25,0.56,2000-06-09
2,3,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.01,0.1,0.06,0.04,0.26,0.01,0.53,2000-06-09
9,5,Flood_2000_161.tif,0.06,161,2000,Landuse_2000.tif,0.01,0.01,0.0,0.41,0.0,0.04,0.54,2000-06-09
1,4,Flood_2000_161.tif,0.06,161,2000,Landuse_2000.tif,0.03,0.05,0.09,0.0,0.03,0.01,0.78,2000-06-09
10,7,Flood_2000_161.tif,0.15,161,2000,Landuse_2000.tif,0.13,0.02,0.0,0.01,0.0,0.37,0.46,2000-06-09
1,3,Flood_2000_161.tif,0.03,161,2000,Landuse_2000.tif,0.01,0.16,0.15,0.0,0.09,0.0,0.59,2000-06-09
7,3,Flood_2000_161.tif,0.04,161,2000,Landuse_2000.tif,0.0,0.01,0.0,0.12,0.46,0.0,0.41,2000-06-09
2,4,Flood_2000_161.tif,0.08,161,2000,Landuse_2000.tif,0.01,0.02,0.15,0.02,0.21,0.07,0.52,2000-06-09
10,5,Flood_2000_161.tif,0.2,161,2000,Landuse_2000.tif,0.09,0.02,0.01,0.02,0.0,0.04,0.81,2000-06-09
5,2,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.0,0.03,0.02,0.15,0.54,0.02,0.25,2000-06-09
5,1,Flood_2000_161.tif,0.03,161,2000,Landuse_2000.tif,0.0,0.02,0.03,0.04,0.69,0.0,0.22,2000-06-09
5,5,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.22,0.43,0.08,0.27,2000-06-09
12,3,Flood_2000_161.tif,0.12,161,2000,Landuse_2000.tif,0.1,0.01,0.02,0.26,0.0,0.33,0.27,2000-06-09
12,4,Flood_2000_161.tif,0.34,161,2000,Landuse_2000.tif,0.25,0.03,0.12,0.02,0.0,0.14,0.44,2000-06-09
5,6,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.09,0.6,0.01,0.3,2000-06-09
