x_coord,y_coord,image_source,water_percentage,date,year
11,2,Flood_2000_193.tif,0.0,193,2000
0,3,Flood_2000_193.tif,0.42,193,2000
1,3,Flood_2000_193.tif,0.08,193,2000
2,3,Flood_2000_193.tif,0.09,193,2000
3,3,Flood_2000_193.tif,0.23,193,2000
4,3,Flood_2000_193.tif,0.35,193,2000
5,3,Flood_2000_193.tif,0.36,193,2000
6,3,Flood_2000_193.tif,0.18,193,2000
7,3,Flood_2000_193.tif,0.18,193,2000
8,3,Flood_2000_193.tif,0.03,193,2000
9,3,Flood_2000_193.tif,0.01,193,2000
10,3,Flood_2000_193.tif,0.04,193,2000
11,3,Flood_2000_193.tif,0.0,193,2000
12,3,Flood_2000_193.tif,0.08,193,2000
1,4,Flood_2000_193.tif,0.1,193,2000
2,4,Flood_2000_193.tif,0.03,193,2000
3,4,Flood_2000_193.tif,0.02,193,2000
4,4,Flood_2000_193.tif,0.02,193,2000
5,4,Flood_2000_193.tif,0.11,193,2000
6,4,Flood_2000_193.tif,0.21,193,2000
7,4,Flood_2000_193.tif,0.13,193,2000
8,4,Flood_2000_193.tif,0.1,193,2000
9,4,Flood_2000_193.tif,0.12,193,2000
10,4,Flood_2000_193.tif,0.06,193,2000
11,4,Flood_2000_193.tif,0.09,193,2000
12,4,Flood_2000_193.tif,0.36,193,2000
3,5,Flood_2000_193.tif,0.03,193,2000
4,5,Flood_2000_193.tif,0.0,193,2000
5,5,Flood_2000_193.tif,0.1,193,2000
6,5,Flood_2000_193.tif,0.1,193,2000
7,5,Flood_2000_193.tif,0.09,193,2000
8,5,Flood_2000_193.tif,0.1,193,2000
9,5,Flood_2000_193.tif,0.1,193,2000
10,5,Flood_2000_193.tif,0.15,193,2000
11,5,Flood_2000_193.tif,0.19,193,2000
3,6,Flood_2000_193.tif,0.01,193,2000
4,6,Flood_2000_193.tif,0.0,193,2000
5,6,Flood_2000_193.tif,0.3,193,2000
6,6,Flood_2000_193.tif,0.15,193,2000
7,6,Flood_2000_193.tif,0.05,193,2000
